customer_id,total_orders,total_spent,avg_order_value,max_order_value,avg_delivery_delay,avg_review_score,late_delivery_ratio,avg_installments,avg_freight_value,first_order_date,last_order_date,customer_tenure_days,days_since_purchase,churn_probability
000598caf2ef4117407665ac33275130,1,1255.71,1255.71,1255.71,-17.0,5.0,0.0,10.0,148.71,2018-08-11,2018-08-11,0,-163,0.7568876702295597
001051abfcfdbed9f87b4266213a5df1,3,195.60000000000002,65.2,65.2,-30.0,4.0,0.0,1.0,15.229999999999999,2018-05-30,2018-05-30,0,-90,0.7117072720487417
0013cd8e350a7cc76873441e431dd5ee,1,92.60000000000002,92.60000000000002,92.60000000000002,-13.0,5.0,0.0,9.0,12.7,2018-05-07,2018-05-07,0,-67,0.7648831659008662
0018c09f333634ca9c80d9ff46e43e9c,1,56.870000000000005,56.870000000000005,56.870000000000005,-13.0,5.0,0.0,5.0,13.88,2018-07-01,2018-07-01,0,-122,0.7353675615256785
001f150aebb5d897f2059b0460c38449,1,125.97,125.97,125.97,-11.0,4.0,0.0,3.0,15.65,2018-05-09,2018-05-09,0,-69,0.7096926560244406
00205ad9ba1ef4340cef86583294cf82,1,928.7,928.7,928.7,-15.0,5.0,0.0,1.0,28.8,2018-05-12,2018-05-12,0,-72,0.7926985018418894
002554bdf9eb99618d8189c3a89fdd52,1,244.08,244.08,244.08,-7.0,5.0,0.0,8.0,15.08,2018-08-13,2018-08-13,0,-165,0.7009919964423993
002ff70a5285669011090c077ef929af,1,81.14,81.14,81.14,-8.0,5.0,0.0,1.0,18.24,2018-08-05,2018-08-05,0,-157,0.716685871803818
003177b3eeca50af17750f53802c9a09,1,133.81,133.81,133.81,-12.0,3.0,0.0,5.0,23.49,2018-07-08,2018-07-08,0,-129,0.7341005251663745
0034f7933de3ead6bd9ba49afe95f119,1,84.24000000000001,84.24000000000001,84.24000000000001,-2.0,4.0,0.0,8.0,18.34,2018-04-06,2018-04-06,0,-36,0.7170687766717271
0035b30e58c620fa2bd30275ddd4f7ef,1,78.2,78.2,78.2,-10.0,5.0,0.0,7.0,18.3,2018-04-08,2018-04-08,0,-38,0.7588307203170263
0041d7b768cb115092fa0f5d55638d06,1,81.32,81.32,81.32,-9.0,5.0,0.0,8.0,18.32,2018-03-10,2018-03-10,0,-9,0.7439497944848213
0045ac1c0957bc92e109f71e4941fa49,1,152.47,152.47,152.47,-7.0,5.0,0.0,10.0,13.27,2018-06-30,2018-06-30,0,-121,0.77614201079753
004a2b3e8b026284407c620f4f01f686,1,163.78,163.78,163.78,-8.0,5.0,0.0,5.0,25.78,2018-04-18,2018-04-18,0,-48,0.7158972624274397
0050ee32fbb93383fb0d9e3d8ee89a07,1,122.84,122.84,122.84,-18.0,5.0,0.0,6.0,23.84,2018-07-23,2018-07-23,0,-144,0.7138263321580292
005460bea0518c7354f01adf10012184,1,74.41,74.41,74.41,-14.0,2.0,0.0,1.0,14.51,2018-04-11,2018-04-11,0,-41,0.7033656629179701
